"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1582",3355,8,1,"I-84 WB Holiday Ramp (Lloyd) ML2",8,1,"I-84 WB Holiday Ramp (Lloyd) ML2",0,2,3128,3128,77,2014-11-18 13:14:00,2004-01-01 00:00:00,1.21,2,3355
"1583",3356,8,1,"I-84 WB Holiday Ramp (Lloyd) ML3",8,1,"I-84 WB Holiday Ramp (Lloyd) ML3",0,3,3128,3128,77,2014-11-18 13:14:00,2004-01-01 00:00:00,1.21,3,3356
"1584",3360,8,1,"I-84 WB @ 28th ML1",8,1,"I-84 WB @ 28th ML1",0,1,3175,3175,79,2014-11-18 13:14:00,2004-01-01 00:00:00,1.82,1,3360
"1585",3361,8,1,"I-84 WB @ 28th ML2",8,1,"I-84 WB @ 28th ML2",0,2,3175,3175,79,2014-11-18 13:14:00,2004-01-01 00:00:00,1.82,2,3361
"1586",3362,8,1,"I-84 WB @ 28th ML3",8,1,"I-84 WB @ 28th ML3",0,3,3175,3175,79,2014-11-18 13:14:00,2004-01-01 00:00:00,1.82,3,3362
"1587",3300,4,1,"I-205 SB @ Halsey Street ML1",8,1,"I-205 SB @ Halsey Street ML1",0,1,3105,3105,55,2014-12-02 15:52:20,2004-01-01 00:00:00,21.68,1,3300
"1588",3301,4,1,"I-205 SB @ Halsey Street ML2",8,1,"I-205 SB @ Halsey Street ML2",0,2,3105,3105,55,2014-12-02 15:52:20,2004-01-01 00:00:00,21.68,2,3301
"1589",3302,4,1,"I-205 SB @ Halsey Street ML3",8,1,"I-205 SB @ Halsey Street ML3",0,3,3105,3105,55,2014-12-02 15:52:20,2004-01-01 00:00:00,21.68,3,3302
"1590",3303,4,1,"I-205 SB @ Halsey Street ML4",8,1,"I-205 SB @ Halsey Street ML4",0,4,3105,3105,55,2014-12-02 15:52:20,2004-01-01 00:00:00,21.68,4,3303
"1591",3366,8,1,"I-84 WB @ 53rd ML1",8,1,"I-84 WB @ 53rd ML1",0,1,3176,3176,80,2014-11-18 13:14:00,2004-01-01 00:00:00,3.36,1,3366
"1592",3367,8,1,"I-84 WB @ 53rd ML2",8,1,"I-84 WB @ 53rd ML2",0,2,3176,3176,80,2014-11-18 13:14:00,2004-01-01 00:00:00,3.36,2,3367
"1593",3368,8,1,"I-84 WB @ 53rd ML3",8,1,"I-84 WB @ 53rd ML3",0,3,3176,3176,80,2014-11-18 13:14:00,2004-01-01 00:00:00,3.36,3,3368
"1594",3372,8,1,"I-84 WB @ Halsey Ramp ML1",8,1,"I-84 WB @ Halsey Ramp ML1",0,1,3132,3132,81,2014-11-18 13:14:00,2004-01-01 00:00:00,4.25,1,3372
"1595",3373,8,1,"I-84 WB @ Halsey Ramp ML2",8,1,"I-84 WB @ Halsey Ramp ML2",0,2,3132,3132,81,2014-11-18 13:14:00,2004-01-01 00:00:00,4.25,2,3373
