Location,Reading,Timestamp,,,,,,
,57,09:23:53,,,,,,
,57,09:23:56,,,,,,
,61,09:23:58,,,,,,
,62,09:24:00,,,,,,
,64,09:24:04,,,,,,
,62,09:24:07,,,,,,
,59,09:24:09,,,,,,
,57,09:24:11,,,,,,
,58,09:24:13,,,,,,
,61,09:24:15,,,,,,
,61,09:24:17,,,,,,
,62,09:24:21,,,,,,
,59,09:24:27,,,,,,
,71,09:24:29,,,,,,
,70,09:24:32,,,,,,
,65,09:24:35,,,,,,
,60,09:24:39,,,,,,
,62,09:24:41,,,,,,
,62,09:24:42,,,,,,
,64,09:24:44,,,,,,
,61,09:24:50,,,,,,
,61,09:24:53,,,,,,
,61,09:24:57,,,,,,
,61,09:24:59,,,,,,
,59,09:25:06,,,,,,
,56,09:25:09,,,,,,
,57,09:25:11,,,,,,
,56,09:25:13,,,,,,
,65,09:25:16,,,,,,
,62,09:25:22,,,,,,
,65,09:25:29,,,,,,
,63,09:25:32,,,,,,
,63,09:25:34,,,,,,
,63,09:25:36,,,,,,
,60,09:25:43,,,,,,
,59,09:25:45,,,,,,
,57,09:25:47,,,,,,
,61,09:25:49,,,,,,
,63,09:25:53,,,,,,
,60,09:25:56,,,,,,
,64,09:25:59,,,,,,
,65,09:26:02,,,,,,
,59,09:26:06,,,,,,
,58,09:26:09,,,,,,
,57,09:26:11,,,,,,
,62,09:26:16,,,,,,
,64,09:26:17,,,,,,
,65,09:26:18,,,,,,
,65,09:26:19,,,,,,
,64,09:26:20,,,,,,
,65,09:26:21,,,,,,
,64,09:26:22,,,,,,
,67,09:26:24,,,,,,
,65,09:26:25,,,,,,
,65,09:26:27,,,,,,
,62,09:26:32,,,,,,
,63,09:26:34,,,,,,
,66,09:26:38,,,,,,
,64,09:26:43,,,,,,
,65,09:27:13,,,,,,
,64,09:27:19,,,,,,
,64,09:27:27,,,,,,
,68,09:27:34,,,,,,
,61,09:27:37,,,,,,
,63,09:27:38,,,,,,
,58,09:27:41,,,,,,
,57,09:27:43,,,,,,
,58,09:27:45,,,,,,
,56,09:27:47,,,,,,
,58,09:27:50,,,,,,
,59,09:27:53,,,,,,
,70,09:27:57,,,,,,
,60,09:28:08,,,,,,
,61,09:28:12,,,,,,
,60,09:28:16,,,,,,
,62,09:28:19,,,,,,
,63,09:28:21,,,,,,
,60,09:28:22,,,,,,
,58,09:28:25,,,,,,
,60,09:28:27,,,,,,
,60,09:28:28,,,,,,
,61,09:28:33,,,,,,
,58,09:28:40,,,,,,
,62,09:28:50,,,,,,
,56,09:28:54,,,,,,
,57,09:28:55,,,,,,
,56,09:28:59,,,,,,
,58,09:29:00,,,,,,
,59,09:29:02,,,,,,
,59,09:29:03,,,,,,
,59,09:29:05,,,,,,
,58,09:29:06,,,,,,
,62,09:29:08,,,,,,
,60,09:29:10,,,,,,
,62,09:29:12,,,,,,
,58,09:29:14,,,,,,
,53,09:29:16,,,,,,
,56,09:29:18,,,,,,
,55,09:29:20,,,,,,
,61,09:29:22,,,,,,
,61,09:29:24,,,,,,
,60,09:29:27,,,,,,
,63,09:29:28,,,,,,
,63,09:29:30,,,,,,
,64,09:29:32,,,,,,
,67,09:29:34,,,,,,
,58,09:29:37,,,,,,
,59,09:29:39,,,,,,
,59,09:29:40,,,,,,
,60,09:29:42,,,,,,
,60,09:29:44,,,,,,
,61,09:29:47,,,,,,
,66,09:29:51,,,,,,
,56,09:29:55,,,,,,
,57,09:29:57,,,,,,
,56,09:30:02,,,,,,
,60,09:30:05,,,,,,
,66,09:30:07,,,,,,
,62,09:30:11,,,,,,
,63,09:30:13,,,,,,
,60,09:30:23,,,,,,
,60,09:30:25,,,,,,
,66,09:30:28,,,,,,
,68,09:30:31,,,,,,
,65,09:30:33,,,,,,
,62,09:30:34,,,,,,
,65,09:30:36,,,,,,
,63,09:30:38,,,,,,
,64,09:30:40,,,,,,
,66,09:30:45,,,,,,
,66,09:30:47,,,,,,
,64,09:30:50,,,,,,
,64,09:30:52,,,,,,
,61,09:30:58,,,,,,
,60,09:30:59,,,,,,
,58,09:31:04,,,,,,
,59,09:31:09,,,,,,
,57,09:31:11,,,,,,
,60,09:31:12,,,,,,
,60,09:31:14,,,,,,
,60,09:31:17,,,,,,
,67,09:31:18,,,,,,
,60,09:31:21,,,,,,
,64,09:31:24,,,,,,
,59,09:31:26,,,,,,
,58,09:31:28,,,,,,
,62,09:31:33,,,,,,
,62,09:31:36,,,,,,
,57,09:31:39,,,,,,
,61,09:31:42,,,,,,
,61,09:31:43,,,,,,
,61,09:31:45,,,,,,
,58,09:31:47,,,,,,
,62,09:31:53,,,,,,
,59,09:31:55,,,,,,
,60,09:31:57,,,,,,
,62,09:32:01,,,,,,
,64,09:32:05,,,,,,
,61,09:32:07,,,,,,
,58,09:32:08,,,,,,
,57,09:32:12,,,,,,
,59,09:32:14,,,,,,
,59,09:32:15,,,,,,
,59,09:32:17,,,,,,
,67,09:32:32,,,,,,
,63,09:32:35,,,,,,
,68,09:32:44,,,,,,
,57,09:32:51,,,,,,
,64,09:32:55,,,,,,
,64,09:32:56,,,,,,
,61,09:32:58,,,,,,
,61,09:32:59,,,,,,
,60,09:33:01,,,,,,
,63,09:33:03,,,,,,
,62,09:33:12,,,,,,
,64,09:33:15,,,,,,
,60,09:33:19,,,,,,
,66,09:33:23,,,,,,
,65,09:33:25,,,,,,
,63,09:33:31,,,,,,
,58,09:33:38,,,,,,
,63,09:33:42,,,,,,
,61,09:33:43,,,,,,
,66,09:33:44,,,,,,
,59,09:33:46,,,,,,
,61,09:33:47,,,,,,
,62,09:33:49,,,,,,
,59,09:33:54,,,,,,
,60,09:33:57,,,,,,
,67,09:34:03,,,,,,
,64,09:34:05,,,,,,
,73,09:34:09,,,,,,
,64,09:34:15,,,,,,
,65,09:34:24,,,,,,
,67,09:34:27,,,,,,
,68,09:34:30,,,,,,
,62,09:34:31,,,,,,
,62,09:34:32,,,,,,
,64,09:34:34,,,,,,
,64,09:34:43,,,,,,
,63,09:34:47,,,,,,
,64,09:34:49,,,,,,
,63,09:34:51,,,,,,
,59,09:34:58,,,,,,
,57,09:35:03,,,,,,
,58,09:35:05,,,,,,
,58,09:35:07,,,,,,
,56,09:35:09,,,,,,
,56,09:35:11,,,,,,
,57,09:35:12,,,,,,
,58,09:35:18,,,,,,
,60,09:35:20,,,,,,
,59,09:35:22,,,,,,
,64,09:35:24,,,,,,
,60,09:35:26,,,,,,
,60,09:35:28,,,,,,
,59,09:35:30,,,,,,
,58,09:35:32,,,,,,
,57,09:35:34,,,,,,
,57,09:35:37,,,,,,
,59,09:35:39,,,,,,
,50,09:35:42,,,,,,
,58,09:35:44,,,,,,
,56,09:35:47,,,,,,
,57,09:35:49,,,,,,
,68,09:35:51,,,,,,
,66,09:35:53,,,,,,
,64,09:35:55,,,,,,
,65,09:35:58,,,,,,
,65,09:36:01,,,,,,
,70,09:36:04,,,,,,
,70,09:36:06,,,,,,
,72,09:36:08,,,,,,
,70,09:36:13,,,,,,
,63,09:36:17,,,,,,
,64,09:36:22,,,,,,
,61,09:36:27,,,,,,
,61,09:36:29,,,,,,
,62,09:36:31,,,,,,
,62,09:36:32,,,,,,
,58,09:36:35,,,,,,
,59,09:36:37,,,,,,
,60,09:36:40,,,,,,
,59,09:36:42,,,,,,
,66,09:36:45,,,,,,
,65,09:36:48,,,,,,
,61,09:36:50,,,,,,
,64,09:36:52,,,,,,
,64,09:36:54,,,,,,
,65,09:36:55,,,,,,
,56,09:37:05,,,,,,
,68,09:37:12,,,,,,
,67,09:37:14,,,,,,
,64,09:37:17,,,,,,
,64,09:37:19,,,,,,
,67,09:37:23,,,,,,
,70,09:37:26,,,,,,
,65,09:37:28,,,,,,
,59,09:37:31,,,,,,
,62,09:37:35,,,,,,
,60,09:37:40,,,,,,
,55,09:37:47,,,,,,
,65,09:37:48,,,,,,
,62,09:37:56,,,,,,
,58,09:37:57,,,,,,
,61,09:38:01,,,,,,
,60,09:38:05,,,,,,
,61,09:38:09,,,,,,
,63,09:38:11,,,,,,
,62,09:38:12,,,,,,
,64,09:38:15,,,,,,
,64,09:38:17,,,,,,
,66,09:38:20,,,,,,
,66,09:38:21,,,,,,
,62,09:38:24,,,,,,
,60,09:38:29,,,,,,
,59,09:38:36,,,,,,
,59,09:38:38,,,,,,
,61,09:38:40,,,,,,
,63,09:38:46,,,,,,
,65,09:38:49,,,,,,
,66,09:38:52,,,,,,
,63,09:38:54,,,,,,
,60,09:38:56,,,,,,
,55,09:39:02,,,,,,
,54,09:39:05,,,,,,
,59,09:39:08,,,,,,
,59,09:39:13,,,,,,
,57,09:39:16,,,,,,
,58,09:39:18,,,,,,
,59,09:39:21,,,,,,
,61,09:39:22,,,,,,
,61,09:39:24,,,,,,
,62,09:39:26,,,,,,
,63,09:39:28,,,,,,
,60,09:39:30,,,,,,
,60,09:39:34,,,,,,
,61,09:39:36,,,,,,
,61,09:39:37,,,,,,
,60,09:39:39,,,,,,
,57,09:39:41,,,,,,
,60,09:39:44,,,,,,
,61,09:39:47,,,,,,
,61,09:39:48,,,,,,
,60,09:39:52,,,,,,
,57,09:39:53,,,,,,
,57,09:39:55,,,,,,
,57,09:39:57,,,,,,
,55,09:40:00,,,,,,
,57,09:40:01,,,,,,
,56,09:40:02,,,,,,
,53,09:40:04,,,,,,
,58,09:40:06,,,,,,
,58,09:40:08,,,,,,
,55,09:40:10,,,,,,
,56,09:40:12,,,,,,
,56,09:40:14,,,,,,
,55,09:40:16,,,,,,
,55,09:40:19,,,,,,
,53,09:40:21,,,,,,
,54,09:40:22,,,,,,
,57,09:40:26,,,,,,
,59,09:40:28,,,,,,
,58,09:40:32,,,,,,
,57,09:40:35,,,,,,
,56,09:40:36,,,,,,
,57,09:40:38,,,,,,
,57,09:40:40,,,,,,
,57,09:40:41,,,,,,
,54,09:40:44,,,,,,
,55,09:40:46,,,,,,
,59,09:40:48,,,,,,
,58,09:40:49,,,,,,
,60,09:40:53,,,,,,
,63,09:40:56,,,,,,
,63,09:41:03,,,,,,
,63,09:41:06,,,,,,
,60,09:41:08,,,,,,
,59,09:41:09,,,,,,
,55,09:41:15,,,,,,
Spring Garden SB Lane 3,,,,,,,,
,62,09:47:04,,,,,,
,55,09:47:08,,,,,,
,52,09:47:26,,,,,,
,45,09:47:35,,,,,,
,44,09:47:37,,,,,,
,48,09:47:39,,,,,,
,49,09:47:42,,,,,,
,48,09:47:44,,,,,,
,47,09:47:45,,,,,,
,48,09:47:47,,,,,,
,53,09:47:50,,,,,,
,55,09:47:51,,,,,,
,62,09:47:58,,,,,,
,57,09:48:00,,,,,,
,54,09:48:03,,,,,,
