Location,Reading,Timestamp,,
,61,10:06:08,,
,61,10:06:10,,
,58,10:06:12,,
,58,10:06:21,,
,63,10:06:45,,
,62,10:06:53,,
,62,10:06:54,,
,64,10:06:56,,
,64,10:06:57,,
,64,10:06:58,,
,64,10:07:01,,
,64,10:07:02,,
,67,10:07:04,,
,70,10:07:05,,
,64,10:07:07,,
,65,10:07:09,,
,61,10:08:54,,
,63,10:08:55,,
,62,10:08:57,,
,69,10:09:00,,
,68,10:09:01,,
,69,10:09:04,,
,67,10:09:15,,
,60,10:09:28,,
,62,10:09:30,,
,62,10:09:32,,
,64,10:09:36,,
,66,10:09:43,,
,63,10:09:47,,
,62,10:09:49,,
,60,10:09:50,,
,60,10:09:51,,
,64,10:09:53,,
,63,10:09:58,,
,67,10:10:00,,
,65,10:10:01,,
,61,10:10:03,,
,63,10:10:09,,
,65,10:10:10,,
,69,10:10:11,,
,61,10:10:20,,
,63,10:10:22,,
,61,10:10:31,,
,60,10:10:34,,
,62,10:10:36,,
,63,10:10:37,,
,59,10:10:48,,
,60,10:10:50,,
,64,10:10:52,,
,64,10:11:00,,
,70,10:11:06,,
,65,10:11:08,,
,62,10:11:12,,
,62,10:11:16,,
,70,10:11:24,,
,62,10:11:26,,
,66,10:11:27,,
,67,10:11:29,,
,65,10:11:30,,
,64,10:11:31,,
,62,10:11:37,,
,63,10:11:45,,
,65,10:11:47,,
,66,10:11:48,,
,65,10:11:51,,
,66,10:11:53,,
,64,10:11:54,,
,67,10:11:56,,
,62,10:11:58,,
,66,10:12:04,,
,67,10:12:06,,
,67,10:12:07,,
,68,10:12:08,,
,67,10:12:10,,
,73,10:12:11,,
,71,10:12:12,,
,62,10:12:21,,
,60,10:12:25,,
,61,10:12:26,,
,59,10:12:28,,
,57,10:12:32,,
,61,10:12:34,,
,60,10:12:36,,
,62,10:12:38,,
,63,10:12:39,,
,63,10:12:40,,
,64,10:12:43,,
,62,10:12:47,,
,60,10:12:50,,
,60,10:12:52,,
,59,10:12:54,,
,61,10:12:55,,
,63,10:12:56,,
,62,10:13:08,,
,61,10:13:10,,
,61,10:13:13,,
,60,10:13:14,,
,65,10:13:15,,
,64,10:13:16,,
,64,10:13:17,,
,67,10:13:19,,
,60,10:13:20,,
,61,10:13:21,,
,61,10:13:23,,
,62,10:13:26,,
,62,10:13:28,,
,63,10:13:30,,
,65,10:13:32,,
,64,10:13:35,,
,63,10:13:49,,
,66,10:14:17,,
,65,10:14:18,,
,66,10:14:21,,
,67,10:14:26,,
US26 WB @ 185th lane 2,56,10:20:24,,
,58,10:20:27,,
,53,10:20:31,,
,52,10:20:33,,
,54,10:20:35,,
,54,10:20:37,,
,55,10:20:38,,
