starttime,traveltime
7/2/15 16:04,899
7/2/15 16:05,810
7/2/15 16:06,989
7/2/15 16:11,1254
7/2/15 16:12,882
7/2/15 16:17,800
7/2/15 16:20,819
7/2/15 16:26,896
7/2/15 16:27,839
7/2/15 16:30,837
7/2/15 16:37,881
7/2/15 16:38,911
7/2/15 16:40,872
7/2/15 16:59,996
7/2/15 17:08,1003
7/2/15 17:09,964
7/2/15 17:13,987
7/2/15 17:14,848
7/2/15 17:14,828
7/2/15 17:19,1117
7/2/15 17:27,954
7/2/15 17:28,913
7/2/15 17:29,918
7/2/15 17:32,829
7/2/15 17:33,811
7/2/15 17:33,835
7/2/15 17:34,822
7/2/15 17:35,905
7/2/15 17:38,1009
7/2/15 17:39,980
7/2/15 17:44,824
7/2/15 17:46,957
7/2/15 17:48,834
7/2/15 17:51,829
7/2/15 17:51,803
7/2/15 17:51,843
7/2/15 17:52,806
7/2/15 17:55,811
7/2/15 17:57,762
7/2/15 18:01,827
7/2/15 18:03,801
7/2/15 18:08,735
7/2/15 18:11,844
7/2/15 18:16,740
7/2/15 18:22,619
7/2/15 18:25,618
7/2/15 18:33,568
7/2/15 18:39,766
7/2/15 18:39,764
7/2/15 18:44,586
7/2/15 18:44,536
7/2/15 18:48,552
7/2/15 19:05,529
7/2/15 19:06,613
7/2/15 19:10,609
7/2/15 19:14,530
7/2/15 19:15,505
7/2/15 19:18,504
7/2/15 19:19,527
7/2/15 19:44,527
7/2/15 19:44,404
7/2/15 20:02,733
7/2/15 20:08,578
7/2/15 20:19,490
7/2/15 20:21,993
7/2/15 20:32,475
7/2/15 20:32,473
7/2/15 20:42,508
7/2/15 21:02,485
7/2/15 21:08,581
7/2/15 21:08,519
7/2/15 21:08,1046
7/2/15 21:08,936
7/2/15 21:17,662
7/2/15 21:43,873
7/2/15 21:46,662
7/2/15 22:03,557
7/2/15 22:07,538
7/2/15 22:10,511
7/2/15 22:26,498
7/2/15 22:29,441
7/2/15 22:30,488
7/2/15 23:18,539
7/2/15 23:20,454
7/2/15 23:26,791
7/2/15 23:45,462
7/3/15 1:01,714
7/3/15 1:01,1432
7/3/15 1:01,1428
7/3/15 1:01,712
7/3/15 2:40,991
7/3/15 5:41,631
7/3/15 7:32,413
7/3/15 8:05,2242
7/3/15 8:05,472
7/3/15 8:06,423
7/3/15 8:13,584
7/3/15 8:14,427
7/3/15 8:38,401
7/3/15 8:38,475
7/3/15 9:21,521
7/3/15 9:24,496
7/3/15 9:25,527
7/3/15 9:43,560
7/3/15 9:43,560
7/3/15 10:00,965
7/3/15 10:01,415
7/3/15 10:06,564
7/3/15 10:15,526
7/3/15 10:22,544
7/3/15 10:23,546
7/3/15 10:28,554
7/3/15 10:35,515
7/3/15 11:00,1740
7/3/15 11:00,1738
7/3/15 11:02,1004
7/3/15 11:04,556
7/3/15 11:20,473
7/3/15 11:21,538
7/3/15 11:26,511
7/3/15 11:36,594
7/3/15 11:41,588
7/3/15 11:45,627
7/3/15 11:49,573
7/3/15 12:03,495
7/3/15 12:13,1131
7/3/15 12:13,1132
7/3/15 12:16,546
7/3/15 12:18,579
