detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
1244,2,1,Swift Blvd/Marine Dr SB,8,1,I5S307.35-ML1,2,1,1027,1027,1027,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,307.35,1,1244
1245,2,1,Swift Blvd/Marine Dr SB,8,1,I5S307.35-ML2,0,2,1027,1027,1027,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,307.35,2,1245
1246,2,1,Swift Blvd/Marine Dr SB,8,1,I5S307.35-ML3,0,3,1027,1027,1027,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,307.35,3,1246
1252,2,1,Columbia Blvd SB,8,1,I5S305.97-ML1,0,1,1028,1028,1028,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,305.97,1,1252
1253,2,1,Columbia Blvd SB,8,1,I5S305.97-ML2,0,2,1028,1028,1028,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,305.97,2,1253
1254,2,1,Columbia Blvd SB,8,1,I5S305.97-ML3,0,3,1028,1028,1028,2015-06-02 15:05:00-07,2004-01-01 00:00:00-08,305.97,3,1254
100066,9,1,Walker Rd NB,8,1,100066/1,0,2,1063,1063,1063,,2014-05-01 00:00:00-07,0.66,1,1545
100058,9,1,TV Hwy NB,8,1,100058/1,0,2,1064,1064,1064,,2014-05-01 00:00:00-07,1.34,1,1538
100059,9,1,TV Hwy NB,8,1,100059/2,0,1,1064,1064,1064,,2014-05-01 00:00:00-07,1.34,2,1537
100050,9,1,Allen Blvd NB,8,1,100050/1,0,2,1065,1065,1065,,2014-05-01 00:00:00-07,2.16,1,1531
100051,9,1,Allen Blvd NB,8,1,100051/2,0,1,1065,1065,1065,,2014-05-01 00:00:00-07,2.16,2,1530
100034,9,1,Scholls Fy NB,8,1,100034/1,0,2,1067,1067,1067,,2014-05-01 00:00:00-07,3.85,1,1517
100035,9,1,Scholls Fy NB,8,1,100035/2,0,1,1067,1067,1067,,2014-05-01 00:00:00-07,3.85,2,1516
100026,9,1,Greenburg NB,8,1,100026/1,0,2,1068,1068,1068,,2014-05-01 00:00:00-07,4.65,1,1510
100027,9,1,Greenburg NB,8,1,100027/2,0,1,1068,1068,1068,,2014-05-01 00:00:00-07,4.65,2,1509
100018,9,1,99W WB to NB,8,1,100018/1,0,2,1069,1069,1069,,2014-05-01 00:00:00-07,5.85,1,1503
100019,9,1,99W WB to NB,8,1,100019/2,0,1,1069,1069,1069,,2014-05-01 00:00:00-07,5.85,2,1502
100004,9,1,99W EB to NB,8,1,100004/1,0,2,1070,1070,1070,,2014-05-01 00:00:00-07,5.9,1,1496
100005,9,1,99W EB to NB,8,1,100005/2,0,1,1070,1070,1070,,2014-05-01 00:00:00-07,5.9,2,1495
100828,2,1,EB Lombard (2R012) to SB I-5,8,1,100828/2,1,2,1030,1030,1030,,2015-06-02 15:10:00-07,305.4,2,1268
100829,2,1,EB Lombard (2R012) to SB I-5,8,1,100829/3,1,1,1030,1030,1030,,2015-06-02 15:10:00-07,305.4,3,1267
