detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
100703,1,1,Miles (2DS055) @ NB I-5 MP297.6,8,1,100703/3,0,1,3117,3117,3117,,2014-10-23 00:00:00-07,297.6,3,3036
100702,1,1,Miles (2DS055) @ NB I-5 MP297.6,8,1,100702/2,0,2,3117,3117,3117,,2014-10-23 00:00:00-07,297.6,2,3037
100701,1,1,Miles (2DS055) @ NB I-5 MP297.6,8,1,100701/1,0,3,3117,3117,3117,,2014-10-23 00:00:00-07,297.6,1,3038
100689,2,1,Miles (2DS055) @ SB I-5 MP297.6,8,1,100689/3,0,1,3118,3118,3118,,2014-10-23 00:00:00-07,297.6,3,3039
100688,2,1,Miles (2DS055) @ SB I-5 MP297.6,8,1,100688/2,0,2,3118,3118,3118,,2014-10-23 00:00:00-07,297.6,2,3040
100687,2,1,Miles (2DS055) @ SB I-5 MP297.6,8,1,100687/1,0,3,3118,3118,3118,,2014-10-23 00:00:00-07,297.6,1,3041
100530,2,1,I-5 SB N. of Morrison Bridge,8,1,100530/2,0,2,3120,3120,3120,,2014-05-01 00:00:00-07,301.13,2,3043
100531,2,1,I-5 SB N. of Morrison Bridge,8,1,100531/3,0,1,3120,3120,3120,,2014-05-01 00:00:00-07,301.13,3,3042
100529,2,1,I-5 SB N. of Morrison Bridge,8,1,100529/1,0,3,3120,3120,3120,,2014-05-01 00:00:00-07,301.13,1,3397
100392,2,1,I-5 SB @ Broadway,8,1,100392/2,0,1,3121,3121,3121,,2014-05-01 00:00:00-07,302.51,2,3283
100391,2,1,I-5 SB @ Broadway,8,1,100391/1,0,2,3121,3121,3121,,2014-05-01 00:00:00-07,302.51,1,3284
101022,6,1,SB I-5 (2DS009) @ SB I-405 MP4.09,8,1,101022/1,1,2,3122,3122,3122,,2015-06-02 15:10:00-07,4.09,1,3048
101023,6,1,SB I-5 (2DS009) @ SB I-405 MP4.09,8,1,101023/2,1,1,3122,3122,3122,,2015-06-02 15:10:00-07,4.09,2,3047
101030,1,1,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,8,1,101030/3,1,1,3123,3123,3123,,2015-06-02 15:10:00-07,305.6,3,3055
101029,1,1,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,8,1,101029/2,1,2,3123,3123,3123,,2015-06-02 15:10:00-07,305.6,2,3056
101028,1,1,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,8,1,101028/1,1,3,3123,3123,3123,,2015-06-02 15:10:00-07,305.6,1,3057
101091,7,1,W. Grand (2DS013) @ EB I-84 MP0.45,8,1,101091/3,1,1,3125,3125,3125,,2014-11-18 09:59:40-08,0.45,3,3205
101090,7,1,W. Grand (2DS013) @ EB I-84 MP0.45,8,1,101090/2,1,2,3125,3125,3125,,2014-11-18 09:59:40-08,0.45,2,3206
101089,7,1,W. Grand (2DS013) @ EB I-84 MP0.45,8,1,101089/1,1,3,3125,3125,3125,,2014-11-18 09:59:40-08,0.45,1,3207
101139,8,1,W. Grand (2DS013) @ WB I-84 MP0.45,8,1,101139/3,1,1,3126,3126,3126,,2014-11-18 09:59:40-08,0.45,3,3208
101138,8,1,W. Grand (2DS013) @ WB I-84 MP0.45,8,1,101138/2,1,2,3126,3126,3126,,2014-11-18 09:59:40-08,0.45,2,3209
101137,8,1,W. Grand (2DS013) @ WB I-84 MP0.45,8,1,101137/1,1,3,3126,3126,3126,,2014-11-18 09:59:40-08,0.45,1,3210
101094,7,1,Holiday ramp (2DS014) @ EB I-84 MP1.21,8,1,101094/3,1,1,3127,3127,3127,,2014-11-18 13:04:40-08,1.21,3,3351
101093,7,1,Holiday ramp (2DS014) @ EB I-84 MP1.21,8,1,101093/2,1,2,3127,3127,3127,,2014-11-18 13:04:40-08,1.21,2,3352
101092,7,1,Holiday ramp (2DS014) @ EB I-84 MP1.21,8,1,101092/1,1,3,3127,3127,3127,,2014-11-18 13:04:40-08,1.21,1,3353
101142,8,1,Holiday ramp (2DS014) @ WB I-84 MP1.21,8,1,101142/3,1,1,3128,3128,3128,,2014-11-18 13:14:00-08,1.21,3,3354
101141,8,1,Holiday ramp (2DS014) @ WB I-84 MP1.21,8,1,101141/2,1,2,3128,3128,3128,,2014-11-18 13:14:00-08,1.21,2,3355
101140,8,1,Holiday ramp (2DS014) @ WB I-84 MP1.21,8,1,101140/1,1,3,3128,3128,3128,,2014-11-18 13:14:00-08,1.21,1,3356
101097,7,1,28th (2DS015) @ EB I-84 MP1.82,8,1,101097/3,1,1,3129,3129,3129,,2014-11-18 13:14:00-08,1.82,3,3357
101096,7,1,28th (2DS015) @ EB I-84 MP1.82,8,1,101096/2,1,2,3129,3129,3129,,2014-11-18 13:14:00-08,1.82,2,3358
101095,7,1,28th (2DS015) @ EB I-84 MP1.82,8,1,101095/1,1,3,3129,3129,3129,,2014-11-18 13:14:00-08,1.82,1,3359
101100,7,1,53rd (2DS016) @ EB I-84 MP3.36,8,1,101100/3,1,1,3130,3130,3130,,2014-11-18 10:12:20-08,3.36,3,3363
101099,7,1,53rd (2DS016) @ EB I-84 MP3.36,8,1,101099/2,1,2,3130,3130,3130,,2014-11-18 10:12:20-08,3.36,2,3364
101098,7,1,53rd (2DS016) @ EB I-84 MP3.36,8,1,101098/1,1,3,3130,3130,3130,,2014-11-18 10:12:20-08,3.36,1,3365
101103,7,1,Halsey ramp (2DS017) @ EB I-84 MP4.25,8,1,101103/3,1,1,3131,3131,3131,,2014-11-18 10:12:20-08,4.25,3,3369
101102,7,1,Halsey ramp (2DS017) @ EB I-84 MP4.25,8,1,101102/2,1,2,3131,3131,3131,,2014-11-18 10:12:20-08,4.25,2,3370
101101,7,1,Halsey ramp (2DS017) @ EB I-84 MP4.25,8,1,101101/1,1,3,3131,3131,3131,,2014-11-18 10:12:20-08,4.25,1,3371
101155,8,1,Halsey ramp (2DS017) @ WB I-84 MP4.25,8,1,101155/3,1,1,3132,3132,3132,,2014-11-18 13:14:00-08,4.25,3,3372
101154,8,1,Halsey ramp (2DS017) @ WB I-84 MP4.25,8,1,101154/2,1,2,3132,3132,3132,,2014-11-18 13:14:00-08,4.25,2,3373
101153,8,1,Halsey ramp (2DS017) @ WB I-84 MP4.25,8,1,101153/1,1,3,3132,3132,3132,,2014-11-18 13:14:00-08,4.25,1,3374
101106,7,1,82nd (2DS018) @ EB I-84 MP5.03,8,1,101106/3,1,1,3133,3133,3133,,2014-11-18 10:00:40-08,5.03,3,3211
101105,7,1,82nd (2DS018) @ EB I-84 MP5.03,8,1,101105/2,1,2,3133,3133,3133,,2014-11-18 10:00:40-08,5.03,2,3212
101104,7,1,82nd (2DS018) @ EB I-84 MP5.03,8,1,101104/1,1,3,3133,3133,3133,,2014-11-18 10:00:40-08,5.03,1,3213
101158,8,1,82nd (2DS018) @ WB I-84 MP5.03,8,1,101158/3,1,1,3134,3134,3134,,2014-11-18 10:00:40-08,5.03,3,3214
101157,8,1,82nd (2DS018) @ WB I-84 MP5.03,8,1,101157/2,1,2,3134,3134,3134,,2014-11-18 10:00:40-08,5.03,2,3215
101156,8,1,82nd (2DS018) @ WB I-84 MP5.03,8,1,101156/1,1,3,3134,3134,3134,,2014-11-18 10:00:40-08,5.03,1,3216
101109,7,1,Halsey (2DS019) @ EB I-84 MP5.82,8,1,101109/3,1,1,3135,3135,3135,,2014-12-02 15:52:00-08,5.82,3,3255
101108,7,1,Halsey (2DS019) @ EB I-84 MP5.82,8,1,101108/2,1,2,3135,3135,3135,,2014-12-02 15:52:00-08,5.82,2,3256
101161,8,1,Halsey (2DS019) @ WB I-84 MP5.82,8,1,101161/3,1,1,3136,3136,3136,,2014-12-02 15:52:00-08,5.82,3,3258
101160,8,1,Halsey (2DS019) @ WB I-84 MP5.82,8,1,101160/2,1,2,3136,3136,3136,,2014-12-02 15:52:00-08,5.82,2,3259
101164,8,1,102nd (2DS020) @ WB I-84 MP6.7,8,1,101164/3,1,1,3138,3138,3138,,2014-11-24 09:27:20-08,6.7,3,3263
101163,8,1,102nd (2DS020) @ WB I-84 MP6.7,8,1,101163/2,1,2,3138,3138,3138,,2014-11-24 09:27:20-08,6.7,2,3264
101162,8,1,102nd (2DS020) @ WB I-84 MP6.7,8,1,101162/1,1,3,3138,3138,3138,,2014-11-24 09:27:20-08,6.7,1,3435
101114,7,1,122nd (2DS021) @ EB I-84 MP10.04,8,1,101114/1,20,3,3139,3139,3139,,2014-09-01 00:00:00-07,10.04,1,3267
101115,7,1,122nd (2DS021) @ EB I-84 MP10.04,8,1,101115/2,20,2,3139,3139,3139,,2014-09-01 00:00:00-07,10.04,2,3266
101116,7,1,122nd (2DS021) @ EB I-84 MP10.04,8,1,101116/3,20,1,3139,3139,3139,,2014-09-01 00:00:00-07,10.04,3,3265
101165,8,1,122nd (2DS021) @ WB I-84 MP10.04,8,1,101165/1,20,3,3140,3140,3140,,2014-09-01 00:00:00-07,10.04,1,3270
101166,8,1,122nd (2DS021) @ WB I-84 MP10.04,8,1,101166/2,20,2,3140,3140,3140,,2014-09-01 00:00:00-07,10.04,2,3269
101167,8,1,122nd (2DS021) @ WB I-84 MP10.04,8,1,101167/3,20,1,3140,3140,3140,,2014-09-01 00:00:00-07,10.04,3,3268
101117,7,1,148th (2DS022) @ EB I-84 MP11.47,8,1,101117/1,20,3,3141,3141,3141,,2014-09-01 00:00:00-07,11.47,1,3219
101118,7,1,148th (2DS022) @ EB I-84 MP11.47,8,1,101118/2,20,2,3141,3141,3141,,2014-09-01 00:00:00-07,11.47,2,3218
101119,7,1,148th (2DS022) @ EB I-84 MP11.47,8,1,101119/3,20,1,3141,3141,3141,,2014-09-01 00:00:00-07,11.47,3,3217
101168,8,1,148th (2DS022) @ WB I-84 MP11.47,8,1,101168/1,20,3,3142,3142,3142,,2014-09-01 00:00:00-07,11.47,1,3222
101169,8,1,148th (2DS022) @ WB I-84 MP11.47,8,1,101169/2,20,2,3142,3142,3142,,2014-09-01 00:00:00-07,11.47,2,3221
101170,8,1,148th (2DS022) @ WB I-84 MP11.47,8,1,101170/3,20,1,3142,3142,3142,,2014-09-01 00:00:00-07,11.47,3,3220
101120,7,1,162nd (2DS023) @ EB I-84 MP12.16,8,1,101120/1,20,3,3143,3143,3143,,2014-09-01 00:00:00-07,12.16,1,3225
101121,7,1,162nd (2DS023) @ EB I-84 MP12.16,8,1,101121/2,20,2,3143,3143,3143,,2014-09-01 00:00:00-07,12.16,2,3224
101122,7,1,162nd (2DS023) @ EB I-84 MP12.16,8,1,101122/3,20,1,3143,3143,3143,,2014-09-01 00:00:00-07,12.16,3,3223
101171,8,1,162nd (2DS023) @ WB I-84 MP12.16,8,1,101171/1,20,3,3144,3144,3144,,2014-09-01 00:00:00-07,12.16,1,3228
101172,8,1,162nd (2DS023) @ WB I-84 MP12.16,8,1,101172/2,20,2,3144,3144,3144,,2014-09-01 00:00:00-07,12.16,2,3227
101173,8,1,162nd (2DS023) @ WB I-84 MP12.16,8,1,101173/3,20,1,3144,3144,3144,,2014-09-01 00:00:00-07,12.16,3,3226
101123,7,1,181st (2DS024) @ EB I-84 MP13.04,8,1,101123/1,20,3,3145,3145,3145,,2014-09-01 00:00:00-07,13.04,1,3231
101174,8,1,181st (2DS024) @ WB I-84 MP13.04,8,1,101174/1,20,3,3146,3146,3146,,2014-09-01 00:00:00-07,13.04,1,3234
101175,8,1,181st (2DS024) @ WB I-84 MP13.04,8,1,101175/2,20,2,3146,3146,3146,,2014-09-01 00:00:00-07,13.04,2,3233
101176,8,1,181st (2DS024) @ WB I-84 MP13.04,8,1,101176/3,20,1,3146,3146,3146,,2014-09-01 00:00:00-07,13.04,3,3232
101126,7,1,207th (2DS025) @ EB I-84 MP14.4,8,1,101126/1,20,3,3147,3147,3147,,2014-09-01 00:00:00-07,14.4,1,3238
101127,7,1,207th (2DS025) @ EB I-84 MP14.4,8,1,101127/2,20,2,3147,3147,3147,,2014-09-01 00:00:00-07,14.4,2,3237
101128,7,1,207th (2DS025) @ EB I-84 MP14.4,8,1,101128/3,20,1,3147,3147,3147,,2014-09-01 00:00:00-07,14.4,3,3236
101179,8,1,207th (2DS025) @ WB I-84 MP14.4,8,1,101179/3,20,1,3148,3148,3148,,2014-09-01 00:00:00-07,14.4,3,3239
101129,7,1,223rd (2DS026) @ EB I-84 MP15.17,8,1,101129/1,20,3,3149,3149,3149,,2014-09-01 00:00:00-07,15.17,1,3245
101130,7,1,223rd (2DS026) @ EB I-84 MP15.17,8,1,101130/2,20,2,3149,3149,3149,,2014-09-01 00:00:00-07,15.17,2,3244
101131,7,1,223rd (2DS026) @ EB I-84 MP15.17,8,1,101131/3,20,1,3149,3149,3149,,2014-09-01 00:00:00-07,15.17,3,3243
101132,7,1,238th (2DS027) @ EB I-84 MP15.94,8,1,101132/1,20,3,3151,3151,3151,,2014-09-01 00:00:00-07,15.94,1,3251
101133,7,1,238th (2DS027) @ EB I-84 MP15.94,8,1,101133/2,20,2,3151,3151,3151,,2014-09-01 00:00:00-07,15.94,2,3250
101134,7,1,238th (2DS027) @ EB I-84 MP15.94,8,1,101134/3,20,1,3151,3151,3151,,2014-09-01 00:00:00-07,15.94,3,3249
101185,8,1,238th (2DS027) @ WB I-84 MP15.94,8,1,101185/3,20,1,3152,3152,3152,,2014-09-01 00:00:00-07,15.94,3,3252
101183,8,1,238th (2DS027) @ WB I-84 MP15.94,8,1,101183/1,20,3,3152,3152,3152,,2014-09-01 00:00:00-07,15.94,1,3254
100314,10,1,Wilshire (2DS043) @ NB OR 217 MP0.25,8,1,100314/3,0,1,3153,3153,3153,,2014-05-01 00:00:00-07,0.25,3,3061
100313,10,1,Wilshire (2DS043) @ NB OR 217 MP0.25,8,1,100313/2,0,2,3153,3153,3153,,2014-05-01 00:00:00-07,0.25,2,3062
100312,10,1,Wilshire (2DS043) @ NB OR 217 MP0.25,8,1,100312/1,0,3,3153,3153,3153,,2014-05-01 00:00:00-07,0.25,1,3063
100311,10,1,Wilshire (2DS043) @ SB OR 217 MP0.25,8,1,100311/3,0,1,3154,3154,3154,,2014-05-01 00:00:00-07,0.25,3,3065
100310,10,1,Wilshire (2DS043) @ SB OR 217 MP0.25,8,1,100310/2,0,2,3154,3154,3154,,2014-05-01 00:00:00-07,0.25,2,3066
100309,10,1,Wilshire (2DS043) @ SB OR 217 MP0.25,8,1,100309/1,0,3,3154,3154,3154,,2014-05-01 00:00:00-07,0.25,1,3067
100301,9,1,217-NB @ TV Hwy,8,1,100301/1,0,2,3155,3155,3155,,2014-05-01 00:00:00-07,1.5,1,3070
100302,9,1,217-NB @ TV Hwy,8,1,100302/2,0,1,3155,3155,3155,,2014-05-01 00:00:00-07,1.5,2,3069
100299,10,1,217-SB @ TV Hwy,8,1,100299/1,0,2,3156,3156,3156,,2014-05-01 00:00:00-07,1.5,1,3072
100300,10,1,217-SB @ TV Hwy,8,1,100300/2,0,1,3156,3156,3156,,2014-05-01 00:00:00-07,1.5,2,3071
100305,10,1,Hall (2DS064) @ NB OR 217 MP3.4,8,1,100305/3,0,1,3157,3157,3157,,2014-05-01 00:00:00-07,3.4,3,3076
100304,10,1,Hall (2DS064) @ NB OR 217 MP3.4,8,1,100304/2,0,2,3157,3157,3157,,2014-05-01 00:00:00-07,3.4,2,3077
100303,10,1,Hall (2DS064) @ NB OR 217 MP3.4,8,1,100303/1,0,3,3157,3157,3157,,2014-05-01 00:00:00-07,3.4,1,3078
101040,12,1,Helvetia (2DS057) @ WB US26 MP61.05,8,1,101040/2,1,1,3158,3158,3158,,2015-06-02 15:10:00-07,61.05,2,3021
101039,12,1,Helvetia (2DS057) @ WB US26 MP61.05,8,1,101039/1,1,2,3158,3158,3158,,2015-06-02 15:10:00-07,61.05,1,3022
101042,12,1,Cornelius Pass (2DS066) WB US26 MP62.48,8,1,101042/2,1,1,3159,3159,3159,,2015-06-02 15:10:00-07,62.48,2,3337
101041,12,1,Cornelius Pass (2DS066) WB US26 MP62.48,8,1,101041/1,1,2,3159,3159,3159,,2015-06-02 15:10:00-07,62.48,1,3338
100640,12,1,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,8,1,100640/1,0,3,3160,3160,3160,,2014-09-29 00:00:00-07,69.31,1,3393
100641,12,1,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,8,1,100641/2,0,2,3160,3160,3160,,2014-09-29 00:00:00-07,69.31,2,3340
100642,12,1,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,8,1,100642/3,0,1,3160,3160,3160,,2014-09-29 00:00:00-07,69.31,3,3339
100625,11,1,Zoo on-ramp (2DS065) @ EB US26 MP72.17,8,1,100625/1,0,3,3161,3161,3161,,2014-09-19 00:00:00-07,72.17,1,3381
100626,11,1,Zoo on-ramp (2DS065) @ EB US26 MP72.17,8,1,100626/2,0,2,3161,3161,3161,,2014-09-19 00:00:00-07,72.17,2,3380
100627,11,1,Zoo on-ramp (2DS065) @ EB US26 MP72.17,8,1,100627/3,0,1,3161,3161,3161,,2014-09-19 00:00:00-07,72.17,3,3379
100649,12,1,Zoo Interchange (2DS065) @ WB US26 MP72.17,8,1,100649/3,0,2,3162,3162,3162,,2014-09-19 00:00:00-07,72.17,3,3383
100650,12,1,Zoo Interchange (2DS065) @ WB US26 MP72.17,8,1,100650/4,0,1,3162,3162,3162,,2014-09-19 00:00:00-07,72.17,4,3382
100647,12,1,Zoo Interchange (2DS065) @ WB US26 MP72.17,8,1,100647/1,0,4,3162,3162,3162,,2014-09-19 00:00:00-07,72.17,1,3385
100648,12,1,Zoo Interchange (2DS065) @ WB US26 MP72.17,8,1,100648/2,0,3,3162,3162,3162,,2014-09-19 00:00:00-07,72.17,2,3384
100628,11,1,Jefferson (2DS068) @ EB US26 MP73.17,8,1,100628/1,0,3,3163,3163,3163,,2014-09-19 00:00:00-07,73.17,1,3388
100629,11,1,Jefferson (2DS068) @ EB US26 MP73.17,8,1,100629/2,0,2,3163,3163,3163,,2014-09-19 00:00:00-07,73.17,2,3387
100630,11,1,Jefferson (2DS068) @ EB US26 MP73.17,8,1,100630/3,0,1,3163,3163,3163,,2014-09-19 00:00:00-07,73.17,3,3386
101075,3,1,Halsey (2DS004) @ NB I-205 MP21.68,8,1,101075/2,1,1,3164,3164,3164,,2014-12-03 09:27:00-08,21.68,2,3417
101074,3,1,Halsey (2DS004) @ NB I-205 MP21.68,8,1,101074/1,1,1,3164,3164,3164,,2014-12-02 15:52:00-08,21.68,1,3417
100548,1,1,N. Wilsonville (2DS051) @ NB I-5 MP285.28,8,1,100548/1,0,3,3165,3165,3165,,2014-09-19 00:00:00-07,285.28,1,3322
100549,1,1,N. Wilsonville (2DS051) @ NB I-5 MP285.28,8,1,100549/2,0,2,3165,3165,3165,,2014-09-19 00:00:00-07,285.28,2,3321
100550,1,1,N. Wilsonville (2DS051) @ NB I-5 MP285.28,8,1,100550/3,0,1,3165,3165,3165,,2014-09-19 00:00:00-07,285.28,3,3320
100754,1,1,Terwilliger (2DS054) @ NB I-5 MP297.3,8,1,100754/3,0,1,3167,3167,3167,,2014-10-23 00:00:00-07,297.3,3,3044
100753,1,1,Terwilliger (2DS054) @ NB I-5 MP297.3,8,1,100753/2,0,2,3167,3167,3167,,2014-10-23 00:00:00-07,297.3,2,3045
100752,1,1,Terwilliger (2DS054) @ NB I-5 MP297.3,8,1,100752/1,0,3,3167,3167,3167,,2014-10-23 00:00:00-07,297.3,1,3046
100290,1,1,I-5 NB N. of Morrison Bridge,8,1,100290/1,0,2,3168,3168,3168,,2014-05-01 00:00:00-07,301.13,1,3400
100291,1,1,I-5 NB N. of Morrison Bridge,8,1,100291/2,0,1,3168,3168,3168,,2014-05-01 00:00:00-07,301.13,2,3399
100389,1,1,I-5 NB @ Broadway,8,1,100389/1,0,2,3169,3169,3169,,2014-05-01 00:00:00-07,302.52,1,3350
100390,1,1,I-5 NB @ Broadway,8,1,100390/2,0,1,3169,3169,3169,,2014-05-01 00:00:00-07,302.52,2,3349
101021,5,1,NB I-5 (2DS009) @ NB I-405 MP4.2,8,1,101021/2,1,1,3170,3170,3170,,2015-06-02 15:10:00-07,4.2,2,3053
101020,5,1,NB I-5 (2DS009) @ NB I-405 MP4.2,8,1,101020/1,1,2,3170,3170,3170,,2015-06-02 15:10:00-07,4.2,1,3054
101025,1,1,NB I-405 (2DS011) @ NB I-5 MP303.47,8,1,101025/2,1,1,3171,3171,3171,,2015-06-02 15:10:00-07,303.47,2,3051
101024,1,1,NB I-405 (2DS011) @ NB I-5 MP303.47,8,1,101024/1,1,2,3171,3171,3171,,2015-06-02 15:10:00-07,303.47,1,3052
101027,2,1,SB I-405 (2DS011) @ SB I-5 MP303.47,8,1,101027/2,1,1,3172,3172,3172,,2015-06-02 15:10:00-07,303.47,2,3049
101026,2,1,SB I-405 (2DS011) @ SB I-5 MP303.47,8,1,101026/1,1,2,3172,3172,3172,,2015-06-02 15:10:00-07,303.47,1,3050
101033,2,1,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,8,1,101033/3,1,1,3173,3173,3173,,2015-06-02 15:10:00-07,305.6,3,3058
101031,2,1,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,8,1,101031/1,1,3,3173,3173,3173,,2015-06-02 15:10:00-07,305.6,1,3060
101032,2,1,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,8,1,101032/2,1,2,3173,3173,3173,,2015-06-02 15:10:00-07,305.6,2,3059
101145,8,1,28th (2DS015) @ WB I-84 MP1.82,8,1,101145/3,1,1,3175,3175,3175,,2014-11-18 13:14:00-08,1.82,3,3360
101144,8,1,28th (2DS015) @ WB I-84 MP1.82,8,1,101144/2,1,2,3175,3175,3175,,2014-11-18 13:14:00-08,1.82,2,3361
101143,8,1,28th (2DS015) @ WB I-84 MP1.82,8,1,101143/1,1,3,3175,3175,3175,,2014-11-18 13:14:00-08,1.82,1,3362
101152,8,1,53rd (2DS016) @ WB I-84 MP3.36,8,1,101152/3,1,1,3176,3176,3176,,2014-11-18 13:14:00-08,3.36,3,3366
101151,8,1,53rd (2DS016) @ WB I-84 MP3.36,8,1,101151/2,1,2,3176,3176,3176,,2014-11-18 13:14:00-08,3.36,2,3367
101150,8,1,53rd (2DS016) @ WB I-84 MP3.36,8,1,101150/1,1,3,3176,3176,3176,,2014-11-18 13:14:00-08,3.36,1,3368
100306,10,1,Hall Blvd SB,8,1,100306/1,0,3,3177,1076,1076,,2014-05-01 00:00:00-07,3.5,1,3075
100307,10,1,Hall Blvd SB,8,1,100307/2,0,2,3177,1076,1076,,2014-05-01 00:00:00-07,3.5,2,3074
100308,10,1,Hall Blvd SB,8,1,100308/3,0,1,3177,1076,1076,,2014-05-01 00:00:00-07,3.5,3,3073
101038,11,1,Helvetia (2DS057) @ EB US26 MP61.05,8,1,101038/2,1,1,3178,3178,3178,,2015-06-02 15:10:00-07,61.05,2,3318
101037,11,1,Helvetia (2DS057) @ EB US26 MP61.05,8,1,101037/1,1,2,3178,3178,3178,,2015-06-02 15:10:00-07,61.05,1,3319
100635,11,1,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,8,1,100635/1,0,3,3180,3180,3180,,2014-09-29 00:00:00-07,69.31,1,3396
100636,11,1,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,8,1,100636/2,0,2,3180,3180,3180,,2014-09-29 00:00:00-07,69.31,2,3395
100637,11,1,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,8,1,100637/3,0,1,3180,3180,3180,,2014-09-29 00:00:00-07,69.31,3,3394
100643,12,1,Jefferson (2DS068) @ WB US26 MP73.17,8,1,100643/1,0,4,3181,3181,3181,,2014-09-19 00:00:00-07,73.17,1,3392
100644,12,1,Jefferson (2DS068) @ WB US26 MP73.17,8,1,100644/2,0,3,3181,3181,3181,,2014-09-19 00:00:00-07,73.17,2,3391
100645,12,1,Jefferson (2DS068) @ WB US26 MP73.17,8,1,100645/3,0,2,3181,3181,3181,,2014-09-19 00:00:00-07,73.17,3,3390
100646,12,1,Jefferson (2DS068) @ WB US26 MP73.17,8,1,100646/4,0,1,3181,3181,3181,,2014-09-19 00:00:00-07,73.17,4,3389
100438,2,1,Wilsonville Rd (2R399) to SB I-5,8,1,100438/1,0,3,3182,3182,3182,,2014-09-19 00:00:00-07,283.67,1,1976
100439,2,1,Wilsonville Rd (2R399) to SB I-5,8,1,100439/2,0,2,3182,3182,3182,,2014-09-19 00:00:00-07,283.67,2,1975
100440,2,1,Wilsonville Rd (2R399) to SB I-5,8,1,100440/3,0,1,3182,3182,3182,,2014-09-19 00:00:00-07,283.67,3,1974
101135,7,1,Marine Dr (2DS028) @ EB I-84 MP16.9,8,1,101135/1,20,2,3183,3183,3183,,2014-09-01 00:00:00-07,16.9,1,3378
101136,7,1,Marine Dr (2DS028) @ EB I-84 MP16.9,8,1,101136/2,20,1,3183,3183,3183,,2014-09-01 00:00:00-07,16.9,2,3377
100283,2,1,I-5 SB @ Madison,8,1,100283/1,0,3,3185,3185,3185,,2014-05-01 00:00:00-07,300.8,1,3406
100284,2,1,I-5 SB @ Madison,8,1,100284/2,0,2,3185,3185,3185,,2014-05-01 00:00:00-07,300.8,2,3405
100285,2,1,I-5 SB @ Madison,8,1,100285/3,0,1,3185,3185,3185,,2014-05-01 00:00:00-07,300.8,3,3404
100615,2,1,Marquam Bridge SB Catwalk,8,1,100615/1,0,4,3186,3186,3186,,2014-05-01 00:00:00-07,300.26,1,3410
100616,2,1,Marquam Bridge SB Catwalk,8,1,100616/2,0,3,3186,3186,3186,,2014-05-01 00:00:00-07,300.26,2,3409
100617,2,1,Marquam Bridge SB Catwalk,8,1,100617/3,0,2,3186,3186,3186,,2014-05-01 00:00:00-07,300.26,3,3408
100618,2,1,Marquam Bridge SB Catwalk,8,1,100618/4,0,1,3186,3186,3186,,2014-05-01 00:00:00-07,300.26,4,3407
100613,2,1,I-5 SB @ Ross Island Bridge,8,1,100613/1,0,2,3187,3187,3187,,2014-05-01 00:00:00-07,299.8,1,3412
100614,2,1,I-5 SB @ Ross Island Bridge,8,1,100614/2,0,1,3187,3187,3187,,2014-05-01 00:00:00-07,299.8,2,3411
100551,1,1,Norwood (2DS052) @ NB I-5 MP287.46,8,1,100551/1,0,4,3191,3191,3191,,2014-09-19 00:00:00-07,287.46,1,3326
100552,1,1,Norwood (2DS052) @ NB I-5 MP287.46,8,1,100552/2,0,3,3191,3191,3191,,2014-09-19 00:00:00-07,287.46,2,3325
100553,1,1,Norwood (2DS052) @ NB I-5 MP287.46,8,1,100553/3,0,2,3191,3191,3191,,2014-09-19 00:00:00-07,287.46,3,3324
100554,1,1,Norwood (2DS052) @ NB I-5 MP287.46,8,1,100554/4,0,1,3191,3191,3191,,2014-09-19 00:00:00-07,287.46,4,3323
100558,2,1,Norwood (2DS052) @ SB I-5 MP287.46,8,1,100558/1,0,4,3192,3192,3192,,2014-09-19 00:00:00-07,287.46,1,3330
100559,2,1,Norwood (2DS052) @ SB I-5 MP287.46,8,1,100559/2,0,3,3192,3192,3192,,2014-09-19 00:00:00-07,287.46,2,3329
100560,2,1,Norwood (2DS052) @ SB I-5 MP287.46,8,1,100560/3,0,2,3192,3192,3192,,2014-09-19 00:00:00-07,287.46,3,3328
100561,2,1,Norwood (2DS052) @ SB I-5 MP287.46,8,1,100561/4,0,1,3192,3192,3192,,2014-09-19 00:00:00-07,287.46,4,3327
100295,1,1,I-5 NB @ Corbett,8,1,100295/2,0,2,3193,3193,3193,,2014-05-01 00:00:00-07,298.9,2,3332
100296,1,1,I-5 NB @ Corbett,8,1,100296/3,0,1,3193,3193,3193,,2014-05-01 00:00:00-07,298.9,3,3331
