starttime,traveltime
7/2/15 11:47,566
7/2/15 12:07,573
7/2/15 12:10,705
7/2/15 12:20,651
7/2/15 12:23,619
7/2/15 12:25,1073
7/2/15 12:30,569
7/2/15 12:38,1102
7/2/15 12:40,813
7/2/15 12:47,685
7/2/15 13:05,704
7/2/15 13:07,916
7/2/15 13:07,649
7/2/15 13:11,605
7/2/15 13:12,664
7/2/15 13:14,742
7/2/15 13:14,620
7/2/15 13:20,867
7/2/15 13:28,648
7/2/15 13:28,613
7/2/15 13:32,688
7/2/15 13:32,652
7/2/15 13:37,704
7/2/15 13:38,700
7/2/15 13:40,663
7/2/15 14:01,540
7/2/15 14:05,505
7/2/15 14:07,570
7/2/15 14:10,718
7/2/15 14:21,926
7/2/15 14:25,525
7/2/15 14:30,724
7/2/15 14:33,1483
7/2/15 14:34,658
7/2/15 14:34,696
7/2/15 14:44,654
7/2/15 15:01,712
7/2/15 15:07,486
7/2/15 15:10,599
7/2/15 15:12,567
7/2/15 15:25,553
7/2/15 15:35,601
7/2/15 15:39,1025
7/2/15 15:41,571
7/2/15 15:44,596
7/2/15 16:00,639
7/2/15 16:02,1100
7/2/15 16:10,1075
7/2/15 16:12,626
7/2/15 16:15,593
7/2/15 16:16,661
7/2/15 16:19,585
7/2/15 16:24,653
7/2/15 17:04,606
7/2/15 17:06,595
7/2/15 17:07,692
7/2/15 17:14,642
7/2/15 17:19,1144
7/2/15 17:20,1161
7/2/15 17:28,671
7/2/15 17:31,597
7/2/15 17:32,634
7/2/15 17:48,600
7/2/15 18:07,665
7/2/15 18:24,551
7/2/15 18:27,604
7/2/15 18:27,605
7/2/15 18:48,618
7/2/15 19:18,526
7/2/15 19:30,558
7/2/15 19:33,505
7/2/15 19:34,551
7/2/15 19:36,544
7/2/15 19:37,488
7/2/15 20:15,525
7/2/15 20:16,439
7/2/15 20:23,937
7/2/15 20:35,500
7/2/15 20:36,545
7/2/15 20:42,477
7/2/15 20:49,469
7/2/15 21:04,454
7/2/15 21:05,1475
7/2/15 21:22,489
7/2/15 21:25,533
7/2/15 21:45,762
7/2/15 21:45,604
7/2/15 22:03,508
7/2/15 22:10,397
7/2/15 22:16,486
7/2/15 22:27,449
7/2/15 22:41,433
7/2/15 23:23,1171
7/3/15 0:04,422
7/3/15 1:13,1072
7/3/15 1:13,1069
7/3/15 1:25,354
7/3/15 1:25,353
7/3/15 4:32,736
7/3/15 4:45,348
7/3/15 4:47,326
7/3/15 5:01,740
7/3/15 5:05,509
7/3/15 5:49,365
7/3/15 6:15,420
7/3/15 6:15,409
7/3/15 6:26,702
7/3/15 6:29,390
7/3/15 6:48,345
7/3/15 7:03,399
7/3/15 7:09,376
7/3/15 7:13,1112
7/3/15 7:17,405
7/3/15 7:17,566
7/3/15 7:18,528
7/3/15 7:21,535
7/3/15 7:36,510
7/3/15 7:36,505
7/3/15 7:37,555
7/3/15 7:50,483
7/3/15 8:07,533
7/3/15 8:13,378
7/3/15 8:19,378
7/3/15 8:25,603
7/3/15 8:28,715
7/3/15 8:50,396
7/3/15 9:02,513
7/3/15 9:07,461
7/3/15 9:12,604
7/3/15 9:15,533
7/3/15 9:16,466
7/3/15 9:19,977
7/3/15 9:27,768
7/3/15 9:30,585
7/3/15 9:34,550
7/3/15 9:34,1079
7/3/15 10:00,592
7/3/15 10:00,1103
7/3/15 10:02,1372
7/3/15 10:05,2512
7/3/15 10:05,454
7/3/15 10:05,563
7/3/15 10:07,593
7/3/15 10:08,588
7/3/15 10:15,487
7/3/15 10:28,595
7/3/15 10:28,595
7/3/15 10:28,587
7/3/15 10:30,625
7/3/15 10:30,709
7/3/15 10:35,663
7/3/15 10:48,526
7/3/15 11:04,489
7/3/15 11:09,2593
7/3/15 11:15,616
7/3/15 11:31,1457
7/3/15 11:42,457
7/3/15 11:47,479
7/3/15 12:07,547
7/3/15 12:11,601
7/3/15 12:12,628
7/3/15 12:16,556
7/3/15 12:18,500
7/3/15 12:18,502
7/3/15 12:19,604
7/3/15 12:35,985
7/3/15 12:40,584
7/3/15 12:47,476
7/3/15 13:04,550
7/3/15 13:06,2486
7/3/15 13:11,658
7/3/15 13:12,609
7/3/15 13:18,677
7/3/15 13:21,598
7/3/15 13:26,1389
7/3/15 13:40,465
7/3/15 14:12,514
7/3/15 14:14,549
7/3/15 14:20,1136
7/3/15 14:25,551
7/3/15 14:37,543
7/3/15 14:37,533
7/3/15 14:44,599
7/3/15 15:00,582
7/3/15 15:02,518
7/3/15 15:05,1035
7/3/15 15:08,579
7/3/15 15:10,576
7/3/15 15:19,602
7/3/15 15:21,519
7/3/15 15:24,552
7/3/15 15:25,1249
7/3/15 15:28,564
7/3/15 15:32,667
7/3/15 15:36,593
7/3/15 15:40,534
7/3/15 15:42,608
7/3/15 16:01,479
7/3/15 16:09,473
7/3/15 16:20,487
7/3/15 16:28,561
7/3/15 16:28,532
7/3/15 16:30,521
7/3/15 16:30,1572
7/3/15 16:47,539
7/3/15 17:06,1228
7/3/15 17:08,1133
7/3/15 17:08,519
7/3/15 17:15,2610
7/3/15 17:15,499
7/3/15 17:17,576
7/3/15 17:19,493
7/3/15 17:47,519
7/3/15 18:01,558
7/3/15 18:11,1395
7/3/15 18:13,526
7/3/15 18:21,592
7/3/15 18:37,451
7/3/15 18:44,870
7/3/15 19:08,561
7/3/15 19:12,430
7/3/15 19:14,566
7/3/15 19:25,520
7/3/15 19:28,537
7/3/15 19:31,534
7/3/15 19:34,520
7/3/15 19:37,486
7/3/15 20:33,536
7/3/15 20:36,396
7/3/15 20:37,460
7/3/15 20:44,590
7/3/15 20:48,497
7/3/15 20:48,519
7/3/15 21:10,520
7/3/15 21:21,524
7/3/15 21:35,446
7/3/15 22:05,494
7/3/15 22:20,543
7/3/15 22:20,2270
7/3/15 22:30,509
7/3/15 22:30,494
7/3/15 23:42,499
7/3/15 23:47,452
7/3/15 23:51,397
7/4/15 0:07,521
7/4/15 0:46,443
7/4/15 3:45,315
7/4/15 5:02,344
7/4/15 5:02,2243
7/4/15 5:15,394
7/4/15 5:30,346
7/4/15 6:02,424
7/4/15 6:19,413
7/4/15 7:14,392
7/4/15 7:24,892
7/4/15 7:24,893
7/4/15 7:27,604
7/4/15 7:27,351
7/4/15 7:30,478
7/4/15 7:35,581
7/4/15 7:38,472
7/4/15 8:36,445
7/4/15 8:42,845
7/4/15 9:00,421
7/4/15 9:33,460
7/4/15 10:05,496
7/4/15 10:20,457
7/4/15 10:23,903
7/4/15 10:24,550
7/4/15 10:29,545
7/4/15 10:37,841
7/4/15 11:03,461
7/4/15 11:12,545
7/4/15 11:13,467
7/4/15 11:14,514
7/4/15 11:23,518
7/4/15 11:23,497
7/4/15 11:32,491
7/4/15 11:42,515
7/4/15 12:03,556
7/4/15 12:05,2431
7/4/15 12:20,599
7/4/15 12:21,628
7/4/15 12:27,463
7/4/15 12:48,501
7/4/15 13:17,532
7/4/15 13:27,573
7/4/15 13:32,602
