starttime,traveltime
7/2/2015 12:06 pm,560
7/2/2015 12:06 pm,579
7/2/2015 12:13 pm,633
7/2/2015 12:15 pm,620
7/2/2015 12:27 pm,616
7/2/2015 12:38 pm,557
7/2/2015 12:46 pm,523
7/2/2015 12:46 pm,554
7/2/2015 1:05 pm,566
7/2/2015 1:14 pm,550
7/2/2015 1:15 pm,594
7/2/2015 1:18 pm,600
7/2/2015 1:22 pm,539
7/2/2015 1:23 pm,659
7/2/2015 1:24 pm,1104
7/2/2015 1:26 pm,575
7/2/2015 1:27 pm,545
7/2/2015 1:30 pm,1098
7/2/2015 1:33 pm,515
7/2/2015 1:36 pm,578
7/2/2015 1:38 pm,552
7/2/2015 1:38 pm,553
7/2/2015 1:39 pm,579
7/2/2015 1:42 pm,616
7/2/2015 1:42 pm,633
7/2/2015 1:42 pm,592
7/2/2015 1:44 pm,647
7/2/2015 1:45 pm,590
7/2/2015 2:00 pm,636
7/2/2015 2:02 pm,607
7/2/2015 2:04 pm,691
7/2/2015 2:05 pm,676
7/2/2015 2:07 pm,1031
7/2/2015 2:12 pm,649
7/2/2015 2:15 pm,862
7/2/2015 2:15 pm,729
7/2/2015 2:15 pm,654
7/2/2015 2:16 pm,671
7/2/2015 2:19 pm,697
7/2/2015 2:21 pm,589
7/2/2015 2:21 pm,515
7/2/2015 2:24 pm,683
7/2/2015 2:24 pm,685
7/2/2015 2:25 pm,689
7/2/2015 2:25 pm,690
7/2/2015 3:00 pm,707
7/2/2015 3:06 pm,1575
7/2/2015 3:11 pm,791
7/2/2015 3:19 pm,874
7/2/2015 3:20 pm,888
7/2/2015 3:25 pm,854
7/2/2015 3:26 pm,888
7/2/2015 3:27 pm,888
7/2/2015 3:30 pm,858
7/2/2015 3:31 pm,902
7/2/2015 3:35 pm,953
7/2/2015 3:36 pm,894
7/2/2015 3:39 pm,481
7/2/2015 3:42 pm,933
7/2/2015 3:43 pm,852
7/2/2015 4:00 pm,797
7/2/2015 4:01 pm,773
7/2/2015 4:04 pm,899
7/2/2015 4:05 pm,810
7/2/2015 4:06 pm,989
7/2/2015 4:11 pm,1254
7/2/2015 4:12 pm,882
7/2/2015 4:17 pm,800
7/2/2015 4:20 pm,819
7/2/2015 4:26 pm,896
7/2/2015 4:27 pm,839
7/2/2015 4:30 pm,837
7/2/2015 4:37 pm,881
7/2/2015 4:38 pm,911
7/2/2015 4:40 pm,872
7/2/2015 4:59 pm,996
7/2/2015 5:08 pm,1003
7/2/2015 5:09 pm,964
7/2/2015 5:13 pm,987
7/2/2015 5:14 pm,848
7/2/2015 5:14 pm,828
7/2/2015 5:19 pm,1117
7/2/2015 5:27 pm,954
7/2/2015 5:28 pm,913
7/2/2015 5:29 pm,918
7/2/2015 5:32 pm,829
7/2/2015 5:33 pm,811
7/2/2015 5:33 pm,835
7/2/2015 5:34 pm,822
7/2/2015 5:35 pm,905
7/2/2015 5:38 pm,1009
7/2/2015 5:39 pm,980
7/2/2015 5:44 pm,824
7/2/2015 5:46 pm,957
7/2/2015 5:48 pm,834
7/2/2015 5:51 pm,829
7/2/2015 5:51 pm,803
7/2/2015 5:51 pm,843
7/2/2015 5:52 pm,806
7/2/2015 5:55 pm,811
7/2/2015 5:57 pm,762
7/2/2015 6:01 pm,827
7/2/2015 6:03 pm,801
7/2/2015 6:08 pm,735
7/2/2015 6:11 pm,844
7/2/2015 6:16 pm,740
7/2/2015 6:22 pm,619
7/2/2015 6:25 pm,618
7/2/2015 6:33 pm,568
7/2/2015 6:39 pm,766
7/2/2015 6:39 pm,764
7/2/2015 6:44 pm,586
7/2/2015 6:44 pm,536
7/2/2015 6:48 pm,552
7/2/2015 7:05 pm,529
7/2/2015 7:06 pm,613
7/2/2015 7:10 pm,609
7/2/2015 7:14 pm,530
7/2/2015 7:15 pm,505
7/2/2015 7:18 pm,504
7/2/2015 7:19 pm,527
7/2/2015 7:44 pm,527
7/2/2015 7:44 pm,404
7/2/2015 8:02 pm,733
7/2/2015 8:08 pm,578
7/2/2015 8:19 pm,490
7/2/2015 8:21 pm,993
7/2/2015 8:32 pm,475
7/2/2015 8:32 pm,473
7/2/2015 8:42 pm,508
7/2/2015 9:02 pm,485
7/2/2015 9:08 pm,936
7/2/2015 9:08 pm,519
7/2/2015 9:08 pm,1046
7/2/2015 9:08 pm,581
7/2/2015 9:17 pm,662
7/2/2015 9:43 pm,873
7/2/2015 9:46 pm,662
7/2/2015 10:03 pm,557
7/2/2015 10:07 pm,538
7/2/2015 10:10 pm,511
7/2/2015 10:26 pm,498
7/2/2015 10:29 pm,441
7/2/2015 10:30 pm,488
7/2/2015 11:18 pm,539
7/2/2015 11:20 pm,454
7/2/2015 11:26 pm,791
7/2/2015 11:45 pm,462
7/3/2015 1:01 am,714
7/3/2015 1:01 am,1432
7/3/2015 1:01 am,712
7/3/2015 1:01 am,1428
7/3/2015 2:40 am,991
7/3/2015 5:41 am,631
7/3/2015 7:32 am,413
7/3/2015 8:05 am,2242
7/3/2015 8:05 am,472
7/3/2015 8:06 am,423
7/3/2015 8:13 am,584
7/3/2015 8:14 am,427
7/3/2015 8:38 am,401
7/3/2015 8:38 am,475
7/3/2015 9:21 am,521
7/3/2015 9:24 am,496
7/3/2015 9:25 am,527
7/3/2015 9:43 am,560
7/3/2015 9:43 am,560
7/3/2015 10:00 am,965
7/3/2015 10:01 am,415
7/3/2015 10:06 am,564
7/3/2015 10:15 am,526
7/3/2015 10:22 am,544
7/3/2015 10:23 am,546
7/3/2015 10:28 am,554
7/3/2015 10:35 am,515
7/3/2015 11:00 am,1740
7/3/2015 11:00 am,1738
7/3/2015 11:02 am,1004
7/3/2015 11:04 am,556
7/3/2015 11:20 am,473
7/3/2015 11:21 am,538
7/3/2015 11:26 am,511
7/3/2015 11:36 am,594
7/3/2015 11:41 am,588
7/3/2015 11:45 am,627
7/3/2015 11:49 am,573
7/3/2015 12:03 pm,495
7/3/2015 12:13 pm,1131
7/3/2015 12:13 pm,1132
7/3/2015 12:16 pm,546
7/3/2015 12:18 pm,579
7/3/2015 12:27 pm,537
7/3/2015 12:30 pm,1012
7/3/2015 12:36 pm,556
7/3/2015 12:36 pm,554
7/3/2015 12:42 pm,596
7/3/2015 1:15 pm,545
7/3/2015 1:43 pm,615
7/3/2015 1:48 pm,554
7/3/2015 2:01 pm,494
7/3/2015 2:06 pm,515
7/3/2015 2:08 pm,521
7/3/2015 2:11 pm,971
7/3/2015 2:15 pm,608
7/3/2015 2:21 pm,537
7/3/2015 2:28 pm,488
7/3/2015 3:08 pm,604
7/3/2015 3:15 pm,634
7/3/2015 3:15 pm,1290
7/3/2015 3:17 pm,586
7/3/2015 3:27 pm,435
7/3/2015 3:30 pm,512
7/3/2015 3:33 pm,549
7/3/2015 3:38 pm,1010
7/3/2015 3:48 pm,436
7/3/2015 3:51 pm,453
7/3/2015 4:08 pm,482
7/3/2015 4:21 pm,904
7/3/2015 4:22 pm,488
7/3/2015 4:22 pm,1521
7/3/2015 4:30 pm,1225
7/3/2015 4:31 pm,621
7/3/2015 4:43 pm,559
